company,statementDate,quarter,year,accountClassification,account,amount
AMD,2001-12-31,4,2001,1 - Current Assets,1.1 - Cash & Cash Equivalents,427288000.0
AMD,2001-12-31,4,2001,1 - Current Assets,1.2 - Short Term Investments,442709000.0
AMD,2001-12-31,4,2001,1 - Current Assets,1.3 - Accounts Receivable,659783000.0
AMD,2001-12-31,4,2001,1 - Current Assets,1.4 - Inventory,380474000.0
AMD,2001-12-31,4,2001,1 - Current Assets,1.5 - Other Current Assets,442855000.0
AMD,2001-12-31,4,2001,2 - Non-Current Assets,2.1 - Net PPE,2739138000.0
AMD,2001-12-31,4,2001,2 - Non-Current Assets,2.2 - Goodwill,0.0
AMD,2001-12-31,4,2001,2 - Non-Current Assets,2.3 - Other Intangible Assets,0.0
AMD,2001-12-31,4,2001,2 - Non-Current Assets,2.4 - Other Non-Current Assets,554995000.0
AMD,2001-12-31,4,2001,3 - Current Liabilities,3.1 - Accounts Payable,304990000.0
