company,statementDate,quarter,year,accountClassification,account,amount
AMD,2013-12-31,4,2013,2 - Operating Expenses,2.1 - SG&A,-169000000.0
AMD,2013-12-31,4,2013,2 - Operating Expenses,2.2 - R&D,-293000000.0
AMD,2013-12-31,4,2013,2 - Operating Expenses,2.3 - Operating Expenses,-4000000.0
AMD,2013-12-31,4,2013,3 - Other Income/Expenses,3.1 - Net Interest Expense,-43000000.0
AMD,2013-12-31,4,2013,3 - Other Income/Expenses,3.2 - Net Other Expenses,46000000.0
AMD,2013-12-31,4,2013,4 - Taxes,4.1 - Taxes,1000000.0
AMD,2013-09-30,3,2013,1 - Gross Profit,1.1 - Revenue,1461000000.0
AMD,2013-09-30,3,2013,1 - Gross Profit,1.2 - COGS,-940000000.0
AMD,2013-09-30,3,2013,2 - Operating Expenses,2.1 - SG&A,-155000000.0
AMD,2013-09-30,3,2013,2 - Operating Expenses,2.2 - R&D,-288000000.0
AMD,2013-09-30,3,2013,2 - Operating Expenses,2.3 - Operating Expenses,-5000000.0
AMD,2013-09-30,3,2013,3 - Other Income/Expenses,3.1 - Net Interest Expense,-46000000.0
AMD,2013-09-30,3,2013,3 - Other Income/Expenses,3.2 - Net Other Expenses,24000000.0
AMD,2013-09-30,3,2013,4 - Taxes,4.1 - Taxes,3000000.0
AMD,2013-06-30,2,2013,1 - Gross Profit,1.1 - Revenue,1161000000.0
AMD,2013-06-30,2,2013,1 - Gross Profit,1.2 - COGS,-702000000.0
AMD,2013-06-30,2,2013,2 - Operating Expenses,2.1 - SG&A,-171000000.0
AMD,2013-06-30,2,2013,2 - Operating Expenses,2.2 - R&D,-308000000.0
AMD,2013-06-30,2,2013,2 - Operating Expenses,2.3 - Operating Expenses,-4000000.0
AMD,2013-06-30,2,2013,3 - Other Income/Expenses,3.1 - Net Interest Expense,-40000000.0
AMD,2013-06-30,2,2013,3 - Other Income/Expenses,3.2 - Net Other Expenses,-7000000.0
AMD,2013-06-30,2,2013,4 - Taxes,4.1 - Taxes,3000000.0
AMD,2013-03-31,1,2013,1 - Gross Profit,1.1 - Revenue,1088000000.0
AMD,2013-03-31,1,2013,1 - Gross Profit,1.2 - COGS,-643000000.0
AMD,2013-03-31,1,2013,2 - Operating Expenses,2.1 - SG&A,-179000000.0
AMD,2013-03-31,1,2013,2 - Operating Expenses,2.2 - R&D,-312000000.0
AMD,2013-03-31,1,2013,2 - Operating Expenses,2.3 - Operating Expenses,-5000000.0
AMD,2013-03-31,1,2013,3 - Other Income/Expenses,3.1 - Net Interest Expense,-43000000.0
AMD,2013-03-31,1,2013,3 - Other Income/Expenses,3.2 - Net Other Expenses,-50000000.0
AMD,2013-03-31,1,2013,4 - Taxes,4.1 - Taxes,2000000.0
AMD,2012-12-31,4,2012,1 - Gross Profit,1.1 - Revenue,1155000000.0
AMD,2012-12-31,4,2012,1 - Gross Profit,1.2 - COGS,-977000000.0
AMD,2012-12-31,4,2012,2 - Operating Expenses,2.1 - SG&A,-193000000.0
AMD,2012-12-31,4,2012,2 - Operating Expenses,2.2 - R&D,-313000000.0
AMD,2012-12-31,4,2012,2 - Operating Expenses,2.3 - Operating Expenses,-5000000.0
AMD,2012-12-31,4,2012,3 - Other Income/Expenses,3.1 - Net Interest Expense,-43000000.0
AMD,2012-12-31,4,2012,3 - Other Income/Expenses,3.2 - Net Other Expenses,-93000000.0
AMD,2012-12-31,4,2012,4 - Taxes,4.1 - Taxes,4000000.0
AMD,2012-09-30,3,2012,1 - Gross Profit,1.1 - Revenue,1269000000.0
AMD,2012-09-30,3,2012,1 - Gross Profit,1.2 - COGS,-877000000.0
AMD,2012-09-30,3,2012,2 - Operating Expenses,2.1 - SG&A,-188000000.0
AMD,2012-09-30,3,2012,2 - Operating Expenses,2.2 - R&D,-328000000.0
AMD,2012-09-30,3,2012,2 - Operating Expenses,2.3 - Operating Expenses,-4000000.0
AMD,2012-09-30,3,2012,3 - Other Income/Expenses,3.1 - Net Interest Expense,-42000000.0
AMD,2012-09-30,3,2012,3 - Other Income/Expenses,3.2 - Net Other Expenses,13000000.0
AMD,2012-09-30,3,2012,4 - Taxes,4.1 - Taxes,0.0
AMD,2012-06-30,2,2012,1 - Gross Profit,1.1 - Revenue,1413000000.0
